Year,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,"31,878.30","32,669.00","33,708.40","34,780.50","36,050.20","36,742.40","36,266.50","38,215.20","39,785.60","39,309.40","39,042.30","38,266.50","37,526.30","38,971.90","39,461.00","40,292.90","40,108.20","42,019.30","43,714.80","44,173.50"
Austria,"37,926.00","38,818.30","39,266.20","40,694.50","41,934.30","42,473.60","40,203.60","40,883.70","41,392.30","41,046.60","40,692.10","40,722.10","40,513.50","41,494.70","41,384.20","42,056.20","42,485.30","39,544.90","41,230.20","40,987.50"
Chile,"12,755.70","14,006.80","15,096.10","16,820.80","17,888.60","17,329.50","17,260.00","19,235.30","19,736.00","21,017.40","21,543.50","21,507.80","22,009.70","22,281.20","22,541.60","22,800.00","22,505.00","20,802.00","23,827.80","23,584.40"
Czechia,"19,612.70","20,490.20","21,694.90","22,395.90","23,642.60","23,792.10","22,201.00","22,183.60","22,180.10","22,330.70","22,461.20","23,138.00","24,566.00","25,338.40","26,938.20","27,780.50","28,323.40","26,718.20","28,069.60","27,790.30"
Denmark,"36,006.90","37,522.40","39,141.20","40,751.90","40,240.20","39,965.20","37,605.50","39,243.50","39,541.30","39,679.50","40,643.30","41,790.80","42,411.10","42,978.80","43,922.50","44,649.50","44,932.90","44,441.80","48,406.60","50,004.80"
Estonia,"14,994.50","16,209.30","18,328.50","20,405.50","22,114.50","21,243.40","18,225.20","18,262.30","20,217.40","21,226.70","22,143.20","23,160.60","23,711.50","24,753.80","26,208.80","27,497.10","28,428.10","28,078.40","30,945.80","30,469.30"
Finland,"33,937.70","35,433.10","35,637.80","36,715.00","38,226.90","37,617.70","34,257.70","35,323.20","35,528.60","34,514.10","34,114.20","34,307.70","34,859.90","35,585.10","36,513.60","37,076.60","37,307.80","36,836.80","37,962.30","37,897.10"
France,"32,461.90","33,048.20","33,252.00","33,687.70","34,356.90","34,028.00","32,897.30","33,294.00","33,710.10","33,355.50","33,519.00","33,777.70","34,432.70","34,733.60","35,247.30","35,540.50","35,951.70","32,071.60","34,777.60","34,564.50"
Germany,"33,387.80","34,514.70","34,677.20","36,347.20","37,434.90","37,253.70","35,806.50","37,204.50","38,652.50","38,518.60","38,616.00","39,419.30","40,155.50","41,111.60","41,877.50","42,320.20","42,814.80","40,497.20","41,764.80","40,869.50"
Greece,..,..,..,"28,354.10","28,977.50","28,358.40","27,098.70","25,493.40","22,409.10","21,617.90","21,135.00","21,854.20","22,272.40","22,343.80","22,700.90","22,882.00","23,524.10","21,213.30","23,089.30","24,441.20"
Hungary,"17,306.60","18,264.60","18,884.70","19,423.30","19,193.20","19,492.70","18,459.60","18,594.00","18,777.80","18,546.30","19,411.40","20,163.30","21,080.30","22,253.10","22,846.10","24,056.50","25,661.40","24,528.00","25,452.50","25,106.00"
Ireland,"36,376.50","36,771.00","38,019.20","38,786.30","39,046.70","36,532.70","32,940.70","33,334.50","32,763.60","32,274.70","34,218.90","36,745.00","38,289.40","39,742.00","40,791.20","41,774.80","43,238.10","41,107.80","47,140.70","49,448.30"
Israel,"21,731.70","22,267.80","23,185.60","24,248.90","25,231.40","24,980.50","25,268.20","26,453.60","27,344.20","27,304.80","28,475.70","29,563.20","30,182.00","31,221.50","32,195.60","32,696.50","33,633.90","32,317.50","34,995.20","36,886.50"
