"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","AUS","Australia","2010","2010",57.8,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","AUS","Australia","2011","2011",56.9,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","AUS","Australia","2012","2012",57.2,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","AUS","Australia","2013","2013",57.6,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","AUS","Australia","2014","2014",57.2,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","AUS","Australia","2015","2015",56.1,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","AUS","Australia","2016","2016",55.4,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","AUS","Australia","2017","2017",56.3,"E","Estimated value"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","AUS","Australia","2021","2021",69.6,"E; B; D","Estimated value; Break; Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","AUT","Austria","2010","2010",,"M","Missing value; data cannot exist"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","AUT","Austria","2011","2011",,"M","Missing value; data cannot exist"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","AUT","Austria","2012","2012",,"M","Missing value; data cannot exist"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","AUT","Austria","2013","2013",,"M","Missing value; data cannot exist"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","AUT","Austria","2014","2014",,"M","Missing value; data cannot exist"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","AUT","Austria","2015","2015",,"M","Missing value; data cannot exist"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","AUT","Austria","2016","2016",,"M","Missing value; data cannot exist"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","AUT","Austria","2017","2017",,"M","Missing value; data cannot exist"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","AUT","Austria","2018","2018",,"M","Missing value; data cannot exist"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","AUT","Austria","2019","2019",,"M","Missing value; data cannot exist"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","AUT","Austria","2020","2020",,"M","Missing value; data cannot exist"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","AUT","Austria","2021","2021",,"M","Missing value; data cannot exist"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","BEL","Belgium","2010","2010",62.9,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","BEL","Belgium","2011","2011",60.7,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","BEL","Belgium","2012","2012",59.4,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","BEL","Belgium","2013","2013",59.2,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","BEL","Belgium","2014","2014",52.9,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","BEL","Belgium","2015","2015",50.6,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","BEL","Belgium","2016","2016",53.1,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","BEL","Belgium","2017","2017",53.2,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","BEL","Belgium","2018","2018",50.8,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","BEL","Belgium","2019","2019",49.5,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","BEL","Belgium","2020","2020",45.7,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","CAN","Canada","2011","2011",64,"E","Estimated value"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","CAN","Canada","2015","2015",61,"E","Estimated value"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","CAN","Canada","2016","2016",61.1,"E","Estimated value"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","CAN","Canada","2018","2018",60,"E","Estimated value"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","CAN","Canada","2019","2019",59.1,"E","Estimated value"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","CZE","Czechia","2012","2012",72.7,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","CZE","Czechia","2013","2013",73.8,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","CZE","Czechia","2014","2014",74.8,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","CZE","Czechia","2015","2015",75.3,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","CZE","Czechia","2016","2016",75.4,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","CZE","Czechia","2017","2017",75.4,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","CZE","Czechia","2018","2018",75.3,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","CZE","Czechia","2019","2019",75.4,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","CZE","Czechia","2020","2020",75,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","CZE","Czechia","2021","2021",74.5,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","DNK","Denmark","2010","2010",64.9,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","DNK","Denmark","2011","2011",65.6,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","DNK","Denmark","2012","2012",64.2,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","DNK","Denmark","2013","2013",66.2,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","DNK","Denmark","2014","2014",66,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","DNK","Denmark","2015","2015",64.8,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","DNK","Denmark","2016","2016",63.5,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","DNK","Denmark","2017","2017",62,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","DNK","Denmark","2018","2018",62.5,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","DNK","Denmark","2019","2019",61.4,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","DNK","Denmark","2020","2020",59.4,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","FIN","Finland","2010","2010",66.7,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","FIN","Finland","2011","2011",67.9,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","FIN","Finland","2012","2012",67.4,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","FIN","Finland","2013","2013",70.9,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","FIN","Finland","2014","2014",70.1,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","FIN","Finland","2015","2015",69.5,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","FIN","Finland","2016","2016",70.5,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","FIN","Finland","2017","2017",70.6,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","FIN","Finland","2018","2018",70.9,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","FIN","Finland","2019","2019",71.1,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","FIN","Finland","2020","2020",70.6,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","FIN","Finland","2021","2021",72.3,"E; D","Estimated value; Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","FRA","France","2014","2014",58.8,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","FRA","France","2015","2015",59.2,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","FRA","France","2016","2016",59.1,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","FRA","France","2017","2017",59.4,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","FRA","France","2018","2018",59.4,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","FRA","France","2019","2019",58.2,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","FRA","France","2020","2020",58.8,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","FRA","France","2021","2021",58.8,"D; P","Difference in methodology; Provisional value"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","DEU","Germany","2021","2021",45,"E; D","Estimated value; Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","GRC","Greece","2021","2021",,"M","Missing value; data cannot exist"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","HUN","Hungary","2010","2010",38.7,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","HUN","Hungary","2011","2011",38.3,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","HUN","Hungary","2012","2012",37.5,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","HUN","Hungary","2013","2013",36.6,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","HUN","Hungary","2014","2014",35.6,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","HUN","Hungary","2015","2015",35.3,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","HUN","Hungary","2016","2016",35.1,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","HUN","Hungary","2017","2017",34.2,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","HUN","Hungary","2018","2018",32.2,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","HUN","Hungary","2019","2019",30.2,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","HUN","Hungary","2020","2020",27.5,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","HUN","Hungary","2021","2021",26,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","ISL","Iceland","2010","2010",65,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","ISL","Iceland","2011","2011",61,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","ISL","Iceland","2012","2012",64,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","ISL","Iceland","2013","2013",64,,
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","ISL","Iceland","2014","2014",73,"B; D","Break; Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","ISL","Iceland","2015","2015",71,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","ISL","Iceland","2016","2016",68,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","ISL","Iceland","2017","2017",66,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","ISL","Iceland","2018","2018",66,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","ISL","Iceland","2019","2019",67,"D","Difference in methodology"
"SCRNCRCP","Cervical cancer screening, programme data","FECSCRTX","% of females aged 20-69 screened","ISL","Iceland","2020","2020",66,"D","Difference in methodology"
