"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2010","2010",83232,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2011","2011",84576,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2012","2012",85200,"E","Estimated value"
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2013","2013",86510,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2014","2014",89019,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2015","2015",90879,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2016","2016",92826,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2010","2010",57838,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2011","2011",58545,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2012","2012",58311,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2013","2013",58567,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2014","2014",60340,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2015","2015",60957,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2016","2016",61797,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2010","2010",11882,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2011","2011",11980,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2012","2012",12299,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2013","2013",12428,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2014","2014",12578,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2015","2015",13122,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2016","2016",13552,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2010","2010",13512,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2011","2011",14051,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2012","2012",14590,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2013","2013",15515,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2014","2014",16101,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2015","2015",16800,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2016","2016",17477,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2010","2010",64008,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2011","2011",64417,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2012","2012",64691,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2013","2013",64825,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2014","2014",64815,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2015","2015",65138,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2016","2016",64838,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2017","2017",64805,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2018","2018",64285,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2019","2019",63838,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2020","2020",62873,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUT","Austria","2021","2021",61927,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUT","Austria","2010","2010",45367,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUT","Austria","2011","2011",45381,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUT","Austria","2012","2012",45107,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUT","Austria","2013","2013",45029,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUT","Austria","2014","2014",44823,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUT","Austria","2015","2015",45097,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUT","Austria","2016","2016",44910,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUT","Austria","2017","2017",45235,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUT","Austria","2018","2018",44650,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUT","Austria","2019","2019",44299,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUT","Austria","2020","2020",43121,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUT","Austria","2021","2021",42333,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2010","2010",11519,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2011","2011",11450,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2012","2012",11417,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2013","2013",11318,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2014","2014",11263,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2015","2015",11223,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2016","2016",11185,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2017","2017",10697,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2018","2018",10675,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2019","2019",10510,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2020","2020",10244,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2021","2021",10177,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2010","2010",7122,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2011","2011",7586,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2012","2012",8167,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2013","2013",8478,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2014","2014",8729,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2015","2015",8818,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2016","2016",8743,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2017","2017",8873,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2018","2018",8960,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2019","2019",9029,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2020","2020",9508,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","AUT","Austria","2021","2021",9417,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2010","2010",66645,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2011","2011",66785,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2012","2012",66477,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2013","2013",66148,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2014","2014",65590,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2015","2015",65753,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2016","2016",65314,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2017","2017",64423,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2018","2018",64248,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2019","2019",63962,"B","Break"
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2020","2020",63847,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2021","2021",63634,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","BEL","Belgium","2022","2022",63572,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","BEL","Belgium","2010","2010",18150,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","BEL","Belgium","2011","2011",18136,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","BEL","Belgium","2012","2012",18032,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","BEL","Belgium","2013","2013",17979,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","BEL","Belgium","2014","2014",17606,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","BEL","Belgium","2015","2015",17200,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","BEL","Belgium","2016","2016",16960,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","BEL","Belgium","2017","2017",16644,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","BEL","Belgium","2018","2018",16636,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","BEL","Belgium","2019","2019",16738,"B","Break"
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","BEL","Belgium","2020","2020",16730,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","BEL","Belgium","2021","2021",16886,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","BEL","Belgium","2022","2022",16882,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","BEL","Belgium","2010","2010",48495,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","BEL","Belgium","2011","2011",48649,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","BEL","Belgium","2012","2012",48445,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","BEL","Belgium","2013","2013",48169,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","BEL","Belgium","2014","2014",47984,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","BEL","Belgium","2015","2015",48553,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","BEL","Belgium","2016","2016",48354,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","BEL","Belgium","2017","2017",47779,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","BEL","Belgium","2018","2018",47612,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","BEL","Belgium","2019","2019",47224,"B","Break"
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","BEL","Belgium","2020","2020",47117,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","BEL","Belgium","2021","2021",46748,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","BEL","Belgium","2022","2022",46690,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2010","2010",94702,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2011","2011",96040,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2012","2012",96710,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2013","2013",95409,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2014","2014",94779,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2015","2015",93595,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2016","2016",93715,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2017","2017",92462,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2018","2018",94673,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2019","2019",94748,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2020","2020",96849,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CAN","Canada","2021","2021",98692,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","CAN","Canada","2010","2010",94092,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","CAN","Canada","2011","2011",95430,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","CAN","Canada","2012","2012",96100,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","CAN","Canada","2013","2013",94784,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","CAN","Canada","2014","2014",94150,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","CAN","Canada","2015","2015",92966,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","CAN","Canada","2016","2016",93086,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","CAN","Canada","2017","2017",91837,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","CAN","Canada","2018","2018",94046,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","CAN","Canada","2019","2019",94120,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","CAN","Canada","2020","2020",96220,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","CAN","Canada","2021","2021",98067,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","CAN","Canada","2010","2010",610,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","CAN","Canada","2011","2011",610,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","CAN","Canada","2012","2012",610,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","CAN","Canada","2013","2013",625,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","CAN","Canada","2014","2014",629,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","CAN","Canada","2015","2015",629,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","CAN","Canada","2016","2016",629,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","CAN","Canada","2017","2017",625,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","CAN","Canada","2018","2018",627,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","CAN","Canada","2019","2019",628,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","CAN","Canada","2020","2020",629,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","CAN","Canada","2021","2021",625,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CZE","Czechia","2010","2010",76864,"B","Break"
"HOPITBED","Total hospital beds","NOMBRENB","Number","CZE","Czechia","2011","2011",74590,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CZE","Czechia","2012","2012",73296,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CZE","Czechia","2013","2013",70922,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CZE","Czechia","2014","2014",70738,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CZE","Czechia","2015","2015",70794,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CZE","Czechia","2016","2016",70903,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CZE","Czechia","2017","2017",70698,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CZE","Czechia","2018","2018",70837,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CZE","Czechia","2019","2019",70711,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CZE","Czechia","2020","2020",69990,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","CZE","Czechia","2021","2021",69917,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","CZE","Czechia","2010","2010",66118,"B","Break"
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","CZE","Czechia","2011","2011",63799,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","CZE","Czechia","2012","2012",62583,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","CZE","Czechia","2013","2013",60447,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","CZE","Czechia","2014","2014",60242,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","CZE","Czechia","2015","2015",60303,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","CZE","Czechia","2016","2016",60317,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","CZE","Czechia","2017","2017",60070,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","CZE","Czechia","2018","2018",60059,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","CZE","Czechia","2019","2019",60143,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","CZE","Czechia","2020","2020",59389,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","CZE","Czechia","2021","2021",59155,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","CZE","Czechia","2010","2010",311,"B","Break"
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","CZE","Czechia","2011","2011",254,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","CZE","Czechia","2012","2012",267,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","CZE","Czechia","2013","2013",253,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","CZE","Czechia","2014","2014",253,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","CZE","Czechia","2015","2015",253,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","CZE","Czechia","2016","2016",253,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","CZE","Czechia","2017","2017",253,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","CZE","Czechia","2018","2018",253,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","CZE","Czechia","2019","2019",240,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","CZE","Czechia","2020","2020",240,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","CZE","Czechia","2021","2021",196,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","CZE","Czechia","2010","2010",10435,"B","Break"
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","CZE","Czechia","2011","2011",10537,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","CZE","Czechia","2012","2012",10446,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","CZE","Czechia","2013","2013",10222,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","CZE","Czechia","2014","2014",10243,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","CZE","Czechia","2015","2015",10238,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","CZE","Czechia","2016","2016",10333,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","CZE","Czechia","2017","2017",10375,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","CZE","Czechia","2018","2018",10525,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","CZE","Czechia","2019","2019",10328,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","CZE","Czechia","2020","2020",10361,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","CZE","Czechia","2021","2021",10566,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","DNK","Denmark","2010","2010",19405,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","DNK","Denmark","2011","2011",17433,"B","Break"
"HOPITBED","Total hospital beds","NOMBRENB","Number","DNK","Denmark","2015","2015",14380,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","DNK","Denmark","2016","2016",14871,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","DNK","Denmark","2017","2017",15037,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","DNK","Denmark","2018","2018",15131,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","DNK","Denmark","2019","2019",15076,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","DNK","Denmark","2020","2020",15089,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","DNK","Denmark","2021","2021",14716,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","DNK","Denmark","2010","2010",18536,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","DNK","Denmark","2011","2011",16384,"B","Break"
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","DNK","Denmark","2015","2015",13415,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","DNK","Denmark","2016","2016",13922,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","DNK","Denmark","2017","2017",14088,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","DNK","Denmark","2018","2018",14217,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","DNK","Denmark","2019","2019",14129,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","DNK","Denmark","2020","2020",14119,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","DNK","Denmark","2021","2021",13729,,
