"","Country","Year","practicing_physicians"
"1","Australia",2011,3.32
"2","Australia",2012,3.31
"3","Australia",2013,3.37
"4","Australia",2014,3.45
"5","Australia",2015,3.51
"6","Australia",2016,3.58
"7","Australia",2017,3.68
"8","Australia",2018,3.75
"9","Australia",2019,3.83
"10","Australia",2020,3.91
"11","Australia",2021,4.02
"12","Austria",2010,4.77
"13","Austria",2011,4.82
"14","Austria",2012,4.87
"15","Austria",2013,4.96
"16","Austria",2014,5.02
"17","Austria",2015,5.06
"18","Austria",2016,5.11
"19","Austria",2017,5.16
"20","Austria",2018,5.22
"21","Austria",2019,5.29
"22","Austria",2020,5.32
"23","Austria",2021,5.41
"24","Austria",2022,5.48
"25","Belgium",2010,2.92
"26","Belgium",2011,2.92
"27","Belgium",2012,2.93
"28","Belgium",2013,2.96
"29","Belgium",2014,2.98
"30","Belgium",2015,3.02
"31","Belgium",2016,3.07
"32","Belgium",2017,3.08
"33","Belgium",2018,3.13
"34","Belgium",2019,3.16
"35","Belgium",2020,3.21
"36","Belgium",2021,3.25
"37","Canada",2010,2.28
"38","Canada",2011,2.35
"39","Canada",2012,2.41
"40","Canada",2013,2.46
"41","Canada",2014,2.51
"42","Canada",2015,2.56
"43","Canada",2016,2.62
"44","Canada",2017,2.66
"45","Canada",2018,2.72
"46","Canada",2019,2.74
"47","Canada",2020,2.73
"48","Canada",2021,2.77
"49","Canada",2022,2.75
"50","Czechia",2010,3.6
"51","Czechia",2011,3.64
"52","Czechia",2012,3.67
"53","Czechia",2013,3.69
"54","Czechia",2018,4.04
"55","Czechia",2019,4.07
"56","Czechia",2020,4.1
"57","Czechia",2021,4.26
"58","Denmark",2010,3.73
"59","Denmark",2011,3.79
"60","Denmark",2012,3.84
"61","Denmark",2013,3.85
"62","Denmark",2014,3.88
"63","Denmark",2015,3.93
"64","Denmark",2016,4
"65","Denmark",2017,4.11
"66","Denmark",2018,4.2
"67","Denmark",2019,4.25
"68","Denmark",2020,4.38
"69","Finland",2010,3.18
"70","Finland",2011,3.26
"71","Finland",2012,3.26
"72","Finland",2013,3.33
"73","Finland",2014,3.38
