#NAME?,,
Country,Bachelor’s or equivalent level,Master’s or equivalent level
Australia,252506,122642
Austria,33770,27988
Belgium,69889,44605
Canada,219192,71091
Chile,131092,52980
Colombia,260366,112291
Costa Rica,41199,4837
Czechia,36622,28201
Denmark,46184,25480
Estonia,5520,3873
Finland,37917,20341
France,305232,339359
Germany,388732,223691
Greece,56857,22950
Hungary,45024,21565
Iceland,3303,1776
Ireland,48954,30420
Israel,56215,26289
Italy,254776,189598
Japan,579213,104165
Korea,355340,78808
Latvia,7150,4345
Lithuania,16254,6987
Luxembourg,643,992
Mexico,689242,136975
Netherlands,114065,56213
New Zealand,42890,8048
Norway,35461,18533
Poland,268005,132134
Portugal,55566,28112
Slovak Republic,18358,18954
Slovenia,8982,5057
Spain,197334,158469
Sweden,40302,32423
Switzerland,63945,28344
Türkiye,553351,92699
United Kingdom,447788,318351
United States,2066445,988535
