Country,Year,Male
Costa Rica,1990,73.1
Costa Rica,1991,73.3
Costa Rica,1992,73.5
Costa Rica,1993,73.7
Costa Rica,1994,74
Costa Rica,1995,74.2
Costa Rica,1996,74.4
Costa Rica,1997,74.6
Costa Rica,1998,74.8
Costa Rica,1999,75
Costa Rica,2000,75.5
Costa Rica,2001,75.7
Costa Rica,2002,76
Costa Rica,2003,76.1
Costa Rica,2004,76.2
Costa Rica,2005,76.4
Costa Rica,2006,76.5
Costa Rica,2007,76.6
Costa Rica,2008,76.8
Costa Rica,2009,76.9
Costa Rica,2010,76.6
Costa Rica,2011,76.6
Costa Rica,2012,76.9
Costa Rica,2013,77.1
Costa Rica,2014,77.2
Costa Rica,2015,77.4
Costa Rica,2016,77.5
Costa Rica,2017,77.6
Costa Rica,2018,77.8
Costa Rica,2019,77.9
Costa Rica,2020,78.1
Costa Rica,2021,78.2
Costa Rica,2022,78.3
Greece,1990,74.7
Greece,1991,74.8
Greece,1992,74.7
Greece,1993,75.1
Greece,1994,75.3
Greece,1995,75.2
Greece,1996,75.3
Greece,1997,75.7
Greece,1998,75.8
Greece,1999,75.9
Greece,2000,75.9
Greece,2001,76.3
Greece,2002,76.4
Greece,2003,76.6
Greece,2004,76.6
Greece,2005,76.8
Greece,2006,77.1
Greece,2007,76.9
Greece,2008,77.5
Greece,2009,77.5
Greece,2010,78
Greece,2011,78
Greece,2012,78
Greece,2013,78.7
Greece,2014,78.8
Greece,2015,78.5
Greece,2016,78.9
Greece,2017,78.8
Greece,2018,79.3
Greece,2019,79.2
Greece,2020,78.8
Greece,2021,77.4
Greece,2022,78.1
Argentina,1990,68.1
Argentina,1991,68.6
Argentina,1992,69
Argentina,1993,69.1
Argentina,1994,69.2
Argentina,1995,70.2
Argentina,1996,70
Argentina,1997,70.1
Argentina,1998,69.7
Argentina,1999,70.1
Argentina,2000,70.4
Argentina,2001,70.6
Argentina,2002,70.7
Argentina,2003,70.8
Argentina,2004,70.8
Argentina,2005,71.5
Argentina,2006,71.7
Argentina,2007,72.1
Argentina,2008,71.5
Argentina,2009,72.3
Argentina,2010,72.7
Argentina,2011,72.5
Argentina,2012,72.8
Argentina,2013,72.9
Argentina,2014,73
Argentina,2015,73.4
Argentina,2016,73.3
Argentina,2017,72.9
Argentina,2018,73.5
Argentina,2019,73.6
Argentina,2020,73.9
Argentina,2021,72.5
Argentina,2022,72.2
Korea,1990,67.5
Korea,1991,67.9
Korea,1992,68.4
Korea,1993,68.9
Korea,1994,69.3
Korea,1995,69.7
Korea,1996,70.2
Korea,1997,70.7
Korea,1998,71.2
Korea,1999,71.8
Korea,2000,72.3
Korea,2001,72.9
Korea,2002,73.4
Korea,2003,73.8
Korea,2004,74.3
Korea,2005,74.9
Korea,2006,75.4
Korea,2007,75.9
Korea,2008,76.2
Korea,2009,76.7
Korea,2010,76.8
Korea,2011,77.3
Korea,2012,77.6
Korea,2013,78.1
Korea,2014,78.6
Korea,2015,79
Korea,2016,79.3
Korea,2017,79.7
Korea,2018,79.7
Korea,2019,80.3
Korea,2020,80.5
Korea,2021,80.6
Estonia,1990,64.7
Estonia,1991,64.4
Estonia,1992,63.4
Estonia,1993,62.3
Estonia,1994,60.6
Estonia,1995,61.4
Estonia,1996,64.2
Estonia,1997,64.2
Estonia,1998,63.9
Estonia,1999,65
Estonia,2000,65.6
Estonia,2001,65.2
Estonia,2002,65.6
Estonia,2003,66.4
Estonia,2004,66.7
Estonia,2005,67.6
Estonia,2006,67.6
Estonia,2007,67.5
Estonia,2008,68.9
Estonia,2009,70
Estonia,2010,70.9
Estonia,2011,71.4
Estonia,2012,71.4
Estonia,2013,72.8
Estonia,2014,72.4
Estonia,2015,73.2
Estonia,2016,73.3
Estonia,2017,73.8
Estonia,2018,74
Estonia,2019,74.5
Estonia,2020,74.4
Estonia,2021,72.7
Estonia,2022,73.7
Belgium,1990,72.7
Belgium,1991,72.9
Belgium,1992,73
Belgium,1993,73
Belgium,1994,73.4
Belgium,1995,73.5
Belgium,1996,73.9
Belgium,1997,74.2
Belgium,1998,74.4
Belgium,1999,74.4
Belgium,2000,74.6
Belgium,2001,74.9
Belgium,2002,75.1
Belgium,2003,75.3
Belgium,2004,76
Belgium,2005,76.2
Belgium,2006,76.6
Belgium,2007,77.1
Belgium,2008,76.9
Belgium,2009,77.4
Belgium,2010,77.5
Belgium,2011,78
Belgium,2012,77.8
Belgium,2013,78.1
Belgium,2014,78.8
Belgium,2015,78.7
Belgium,2016,79
Belgium,2017,79.2
Belgium,2018,79.4
Belgium,2019,79.8
Belgium,2020,78.5
Belgium,2021,79.4
Belgium,2022,79.6
Finland,1990,71
Finland,1991,71.4
Finland,1992,71.7
Finland,1993,72.1
Finland,1994,72.8
Finland,1995,72.8
Finland,1996,73.1
Finland,1997,73.5
Finland,1998,73.6
Finland,1999,73.8
Finland,2000,74.2
Finland,2001,74.6
Finland,2002,74.9
Finland,2003,75.1
Finland,2004,75.4
Finland,2005,75.6
Finland,2006,75.9
Finland,2007,76
Finland,2008,76.5
Finland,2009,76.6
Finland,2010,76.9
Finland,2011,77.3
Finland,2012,77.7
Finland,2013,78
Finland,2014,78.4
Finland,2015,78.7
Finland,2016,78.6
Finland,2017,78.9
Finland,2018,79.1
Finland,2019,79.3
Finland,2020,79.2
Finland,2021,79.3
Finland,2022,78.7
Switzerland,1990,74
Switzerland,1991,74.2
Switzerland,1992,74.5
Switzerland,1993,75
Switzerland,1994,75.2
Switzerland,1995,75.4
Switzerland,1996,76
Switzerland,1997,76.3
Switzerland,1998,76.4
Switzerland,1999,76.8
Switzerland,2000,77
Switzerland,2001,77.5
Switzerland,2002,77.9
Switzerland,2003,78
Switzerland,2004,78.6
Switzerland,2005,78.7
Switzerland,2006,79.2
Switzerland,2007,79.5
Switzerland,2008,79.8
Switzerland,2009,79.9
Switzerland,2010,80.3
Switzerland,2011,80.5
Switzerland,2012,80.6
Switzerland,2013,80.7
Switzerland,2014,81.1
Switzerland,2015,80.8
Switzerland,2016,81.7
Switzerland,2017,81.6
Switzerland,2018,81.9
Switzerland,2019,82.1
Switzerland,2020,81
Switzerland,2021,81.8
Switzerland,2022,81.6
Slovak Republic,1990,66.7
Slovak Republic,1991,66.9
Slovak Republic,1992,67.1
Slovak Republic,1993,67.8
Slovak Republic,1994,68.3
Slovak Republic,1995,68.4
Slovak Republic,1996,68.8
Slovak Republic,1997,68.9
Slovak Republic,1998,68.6
Slovak Republic,1999,69
Slovak Republic,2000,69.2
Slovak Republic,2001,69.5
Slovak Republic,2002,69.8
Slovak Republic,2003,69.8
Slovak Republic,2004,70.3
Slovak Republic,2005,70.2
Slovak Republic,2006,70.4
Slovak Republic,2007,70.6
Slovak Republic,2008,70.9
Slovak Republic,2009,71.4
Slovak Republic,2010,71.8
Slovak Republic,2011,72.3
Slovak Republic,2012,72.5
Slovak Republic,2013,72.9
Slovak Republic,2014,73.3
Slovak Republic,2015,73.1
Slovak Republic,2016,73.8
Slovak Republic,2017,73.8
Slovak Republic,2018,73.9
Slovak Republic,2019,74.3
Slovak Republic,2020,73.5
Slovak Republic,2021,71.2
Slovak Republic,2022,73.7
Croatia,2001,70.9
Croatia,2002,71
Croatia,2003,71
Croatia,2004,71.8
Croatia,2005,71.7
Croatia,2006,72.4
Croatia,2007,72.2
Croatia,2008,72.3
Croatia,2009,72.8
Croatia,2010,73.4
Croatia,2011,73.8
Croatia,2012,73.9
Croatia,2013,74.5
Croatia,2014,74.7
Croatia,2015,74.4
Croatia,2016,75
Croatia,2017,74.9
Croatia,2018,74.9
