Country,Year,GDP Per Capita (USD)
Belgium,1990,18674.15547
Belgium,1991,19584.89658
Belgium,1992,20254.83284
Belgium,1993,20456.09166
Belgium,1994,21503.16504
Belgium,1995,22431.0509
Belgium,1996,22735.94004
Belgium,1997,23728.45977
Belgium,1998,24368.76469
Belgium,1999,25441.89139
Belgium,2000,27788.775
Belgium,2001,28795.38568
Belgium,2002,30281.66799
Belgium,2003,30934.97182
Belgium,2004,32064.41643
Belgium,2005,33176.68088
Belgium,2006,35258.83507
Belgium,2007,36798.51235
Belgium,2008,37883.23342
Belgium,2009,37750.13747
Belgium,2010,39831.67923
Belgium,2011,40943.34348
Belgium,2012,42290.47767
Belgium,2013,43672.71229
Belgium,2014,44929.93333
Belgium,2015,46201.68589
Belgium,2016,48599.20268
Belgium,2017,50442.94752
Belgium,2018,52530.84151
Belgium,2019,56621.42834
Belgium,2020,55729.02769
Belgium,2021,62124.24456
Belgium,2022,68308.20936
Lithuania,1995,5926.487078
Lithuania,1996,6383.358805
Lithuania,1997,7068.111806
Lithuania,1998,7762.570922
Lithuania,1999,7820.787732
Lithuania,2000,8447.022796
Lithuania,2001,9438.825785
Lithuania,2002,10480.70531
Lithuania,2003,12068.38936
Lithuania,2004,13030.82276
Lithuania,2005,14510.71794
Lithuania,2006,16483.84977
Lithuania,2007,19098.85375
Lithuania,2008,20721.12628
Lithuania,2009,18116.23465
Lithuania,2010,20093.34232
Lithuania,2011,22884.86963
Lithuania,2012,24703.73625
Lithuania,2013,26721.68914
Lithuania,2014,28184.25706
Lithuania,2015,28834.53072
Lithuania,2016,30925.2562
Lithuania,2017,33761.98537
Lithuania,2018,36376.53574
Lithuania,2019,40577.84764
Lithuania,2020,41168.17905
Lithuania,2021,46285.42051
Lithuania,2022,50997.26912
Portugal,1990,11758.06643
Portugal,1991,12722.66921
Portugal,1992,13159.67245
Portugal,1993,13181.65279
Portugal,1994,13560.40398
Portugal,1995,14396.83101
Portugal,1996,14916.45266
Portugal,1997,15785.78587
Portugal,1998,16686.94117
Portugal,1999,17718.15101
Portugal,2000,18879.06324
Portugal,2001,19530.67224
Portugal,2002,20356.66099
Portugal,2003,20852.24177
Portugal,2004,21478.44282
Portugal,2005,22725.2867
Portugal,2006,24682.56566
Portugal,2007,25738.95343
Portugal,2008,26665.82967
Portugal,2009,26458.12058
Portugal,2010,27257.2324
Portugal,2011,26769.52911
Portugal,2012,26438.02984
Portugal,2013,27936.01966
Portugal,2014,28742.41813
Portugal,2015,29660.91463
Portugal,2016,31607.75712
Portugal,2017,33044.70015
Portugal,2018,34928.54427
Portugal,2019,37845.19258
Portugal,2020,35874.80307
Portugal,2021,39036.33747
Portugal,2022,44962.94439
United Kingdom,1990,17057.30544
