,immigration_rate,Country_Year
0,2000,Year_2000
1,107148,Australia_2000
2,65954,Austria_2000
3,57295,Belgium_2000
4,227455,Canada_2000
5,18741,Chile_2000
6,4227,Czechia_2000
7,22766,Denmark_2000
8,..,Estonia_2000
9,9110,Finland_2000
10,91875,France_2000
11,648846,Germany_2000
12,..,Greece_2000
13,20184,Hungary_2000
14,2462,Iceland_2000
15,27800,Ireland_2000
16,60201,Israel_2000
17,192557,Italy_2000
18,345779,Japan_2000
19,173071,Korea_2000
20,1627,Latvia_2000
21,10792,Luxembourg_2000
22,6414,Mexico_2000
23,91383,Netherlands_2000
24,37457,New Zealand_2000
25,27785,Norway_2000
26,15897,Poland_2000
27,15932,Portugal_2000
28,4622,Slovak Republic_2000
29,..,Slovenia_2000
30,330881,Spain_2000
31,42216,Sweden_2000
32,87448,Switzerland_2000
33,..,Türkiye_2000
34,260424,United Kingdom_2000
35,841002,United States_2000
36,,
37,2001,Year_2001
38,127877,Australia_2001
39,74786,Austria_2001
40,65974,Belgium_2001
41,250640,Canada_2001
42,28924,Chile_2001
43,11323,Czechia_2001
44,24642,Denmark_2001
45,..,Estonia_2001
46,11037,Finland_2001
47,106877,France_2001
48,685259,Germany_2001
49,..,Greece_2001
50,20308,Hungary_2001
51,2515,Iceland_2001
52,32700,Ireland_2001
53,43473,Israel_2001
54,172836,Italy_2001
55,351187,Japan_2001
56,163898,Korea_2001
57,..,Latvia_2001
58,11055,Luxembourg_2001
59,8053,Mexico_2001
60,94507,Netherlands_2001
61,85617,New Zealand_2001
62,25412,Norway_2001
63,21466,Poland_2001
64,151433,Portugal_2001
65,4723,Slovak Republic_2001
66,..,Slovenia_2001
67,394048,Spain_2001
68,43833,Sweden_2001
69,101353,Switzerland_2001
70,..,Türkiye_2001
71,262239,United Kingdom_2001
72,1058902,United States_2001
73,,
74,2002,Year_2002
75,119080,Australia_2002
76,86144,Austria_2002
77,70230,Belgium_2002
78,228919,Canada_2002
79,29942,Chile_2002
80,43648,Czechia_2002
81,21485,Denmark_2002
82,..,Estonia_2002
83,9972,Finland_2002
84,124232,France_2002
85,658341,Germany_2002
86,..,Greece_2002
87,17972,Hungary_2002
88,1855,Iceland_2002
89,39900,Ireland_2002
90,33570,Israel_2002
91,161914,Italy_2002
92,343811,Japan_2002
93,158941,Korea_2002
94,..,Latvia_2002
95,10988,Luxembourg_2002
96,5828,Mexico_2002
97,86619,Netherlands_2002
98,102436,New Zealand_2002
99,30788,Norway_2002
100,30243,Poland_2002
101,71974,Portugal_2002
102,4784,Slovak Republic_2002
103,..,Slovenia_2002
104,443085,Spain_2002
105,47603,Sweden_2002
106,101876,Switzerland_2002
107,..,Türkiye_2002
108,288770,United Kingdom_2002
109,1059356,United States_2002
110,,
111,2003,Year_2003
112,123411,Australia_2003
113,93341,Austria_2003
114,68800,Belgium_2003
115,221349,Canada_2003
116,29835,Chile_2003
117,57438,Czechia_2003
118,18385,Denmark_2003
119,..,Estonia_2003
120,9432,Finland_2003
121,136370,France_2003
122,601759,Germany_2003
123,..,Greece_2003
124,19365,Hungary_2003
125,1353,Iceland_2003
126,42400,Ireland_2003
127,23273,Israel_2003
128,424856,Italy_2003
129,373918,Japan_2003
130,168875,Korea_2003
131,..,Latvia_2003
132,12554,Luxembourg_2003
133,6945,Mexico_2003
134,73566,Netherlands_2003
135,86686,New Zealand_2003
136,26787,Norway_2003
137,30325,Poland_2003
138,31754,Portugal_2003
139,4562,Slovak Republic_2003
140,..,Slovenia_2003
141,429524,Spain_2003
142,47988,Sweden_2003
143,94049,Switzerland_2003
144,..,Türkiye_2003
145,327405,United Kingdom_2003
146,703542,United States_2003
147,,
148,2004,Year_2004
149,146441,Australia_2004
150,104246,Austria_2004
151,72446,Belgium_2004
152,235822,Canada_2004
153,32099,Chile_2004
154,50804,Czechia_2004
155,18706,Denmark_2004
156,759,Estonia_2004
157,11511,Finland_2004
158,141554,France_2004
159,602182,Germany_2004
160,..,Greece_2004
161,22164,Hungary_2004
162,2512,Iceland_2004
163,41800,Ireland_2004
164,20899,Israel_2004
165,394756,Italy_2004
166,371983,Japan_2004
167,178530,Korea_2004
168,..,Latvia_2004
169,12245,Luxembourg_2004
170,8513,Mexico_2004
171,65121,Netherlands_2004
172,72305,New Zealand_2004
173,27864,Norway_2004
174,36851,Poland_2004
175,34096,Portugal_2004
176,7919,Slovak Republic_2004
177,..,Slovenia_2004
178,645844,Spain_2004
179,47580,Sweden_2004
180,96270,Switzerland_2004
181,..,Türkiye_2004
182,434322,United Kingdom_2004
183,957883,United States_2004
184,,
185,2005,Year_2005
186,161734,Australia_2005
187,97995,Austria_2005
188,77411,Belgium_2005
189,262244,Canada_2005
190,40793,Chile_2005
191,58576,Czechia_2005
192,20146,Denmark_2005
193,981,Estonia_2005
194,12744,Finland_2005
195,135866,France_2005
196,579301,Germany_2005
197,65318,Greece_2005
198,25582,Hungary_2005
199,4680,Iceland_2005
200,66100,Ireland_2005
201,21183,Israel_2005
202,282780,Italy_2005
203,372329,Japan_2005
204,253729,Korea_2005
205,1886,Latvia_2005
206,13759,Luxembourg_2005
207,9172,Mexico_2005
208,63415,Netherlands_2005
209,73841,New Zealand_2005
210,31355,Norway_2005
211,38512,Poland_2005
212,28092,Portugal_2005
213,7665,Slovak Republic_2005
214,..,Slovenia_2005
215,682711,Spain_2005
216,51297,Sweden_2005
217,94357,Switzerland_2005
218,..,Türkiye_2005
219,405111,United Kingdom_2005
220,1122257,United States_2005
221,,
222,2006,Year_2006
223,176205,Australia_2006
224,82899,Austria_2006
225,83433,Belgium_2006
226,251641,Canada_2006
227,37035,Chile_2006
228,66125,Czechia_2006
229,23979,Denmark_2006
230,1488,Estonia_2006
231,13868,Finland_2006
232,228693,France_2006
233,558467,Germany_2006
234,63216,Greece_2006
235,23569,Hungary_2006
236,7070,Iceland_2006
237,88900,Ireland_2006
238,19269,Israel_2006
239,254588,Italy_2006
240,325621,Japan_2006
241,302963,Korea_2006
242,2801,Latvia_2006
243,13731,Luxembourg_2006
244,6874,Mexico_2006
245,67657,Netherlands_2006
246,80724,New Zealand_2006
247,37425,Norway_2006
248,34210,Poland_2006
249,22457,Portugal_2006
250,4287,Slovak Republic_2006
251,..,Slovenia_2006
252,802971,Spain_2006
253,80398,Sweden_2006
254,102657,Switzerland_2006
255,..,Türkiye_2006
256,451702,United Kingdom_2006
257,1266129,United States_2006
258,,
259,2007,Year_2007
260,189490,Australia_2007
261,91546,Austria_2007
262,93387,Belgium_2007
263,236751,Canada_2007
264,53071,Chile_2007
265,102511,Czechia_2007
266,31430,Denmark_2007
267,1952,Estonia_2007
268,17504,Finland_2007
269,145876,France_2007
270,574752,Germany_2007
271,46333,Greece_2007
272,22607,Hungary_2007
273,9318,Iceland_2007
274,120400,Ireland_2007
275,18131,Israel_2007
276,515201,Italy_2007
