"","Country","Year","measles_vaccination"
"1","Australia",2010,93.9
"2","Australia",2011,94
"3","Australia",2012,94.4
"4","Australia",2013,93.7
"5","Australia",2014,94.4
"6","Australia",2015,94.7
"7","Australia",2016,95
"8","Australia",2017,94
"9","Australia",2018,94
"10","Australia",2019,94
"11","Australia",2020,93
"12","Australia",2021,92.7
"13","Australia",2022,96
"14","Austria",2010,80
"15","Austria",2011,84
"16","Austria",2012,88
"17","Austria",2013,92
"18","Austria",2014,96
"19","Austria",2015,96
"20","Austria",2016,95
"21","Austria",2017,96
"22","Austria",2018,94
"23","Austria",2019,95
"24","Austria",2020,95
"25","Austria",2021,95
"26","Belgium",2010,95
"27","Belgium",2011,95
"28","Belgium",2012,96
"29","Belgium",2013,96
"30","Belgium",2014,96
"31","Belgium",2015,96
"32","Belgium",2016,96
"33","Belgium",2017,96
"34","Belgium",2018,96
"35","Belgium",2019,96
"36","Belgium",2020,96
"37","Belgium",2021,96
"38","Canada",2010,90
"39","Canada",2011,88
"40","Canada",2012,89
"41","Canada",2013,90
"42","Canada",2014,90
"43","Canada",2015,89
"44","Canada",2016,89
"45","Canada",2017,90
"46","Canada",2018,90
"47","Canada",2019,90
"48","Canada",2020,90
"49","Canada",2021,90
"50","Czechia",2010,98
"51","Czechia",2011,98
"52","Czechia",2012,98
"53","Czechia",2013,99
"54","Czechia",2014,99.4
"55","Czechia",2015,99
"56","Czechia",2016,97.5
"57","Czechia",2017,97
"58","Czechia",2018,96.4
"59","Czechia",2019,92.4
"60","Czechia",2020,94.4
"61","Czechia",2021,96.6
"62","Czechia",2022,96.6
"63","Denmark",2010,85
"64","Denmark",2011,87
"65","Denmark",2012,87
"66","Denmark",2013,86
"67","Denmark",2014,87
"68","Denmark",2015,88
"69","Denmark",2016,91
"70","Denmark",2017,94
"71","Denmark",2018,94
"72","Denmark",2019,95
"73","Denmark",2020,93.6
"74","Denmark",2021,94.1
"75","Denmark",2022,93.6
"76","Finland",2010,98
"77","Finland",2011,97
"78","Finland",2012,97
"79","Finland",2013,97
"80","Finland",2014,96
"81","Finland",2015,95
"82","Finland",2016,94
"83","Finland",2017,94
"84","Finland",2018,96
"85","Finland",2019,96
"86","Finland",2020,95
"87","Finland",2021,93
"88","France",2010,89
"89","France",2011,89
"90","France",2012,91
"91","France",2013,90
"92","France",2014,91
"93","France",2015,91
"94","France",2016,90.5
"95","France",2017,90.3
"96","France",2018,89.6
"97","France",2019,92
"98","France",2020,92
"99","France",2021,91.9
"100","France",2022,94.2
"101","Germany",2010,96.1
"102","Germany",2011,96.4
"103","Germany",2012,96.6
"104","Germany",2013,96.7
"105","Germany",2014,96.7
"106","Germany",2015,96.8
"107","Germany",2016,96.8
"108","Germany",2017,97.1
"109","Germany",2018,97.1
"110","Germany",2019,97.2
"111","Germany",2020,97.2
"112","Germany",2021,97.4
"113","Greece",2010,99
"114","Greece",2011,99
"115","Greece",2012,99
"116","Greece",2013,99
"117","Greece",2014,97
"118","Greece",2015,97
"119","Greece",2016,97
"120","Greece",2017,97
"121","Greece",2018,97
"122","Greece",2019,97
"123","Greece",2020,97
"124","Greece",2021,97
"125","Hungary",2010,99.9
"126","Hungary",2011,99.9
"127","Hungary",2012,99.8
"128","Hungary",2013,99.9
"129","Hungary",2014,99.8
"130","Hungary",2015,99.9
"131","Hungary",2016,99.8
"132","Hungary",2017,99.9
"133","Hungary",2018,99.9
"134","Hungary",2019,99.9
"135","Hungary",2020,99.8
"136","Hungary",2021,99.8
"137","Hungary",2022,99.8
"138","Iceland",2010,93
"139","Iceland",2011,94.3
"140","Iceland",2012,90
"141","Iceland",2013,91.3
"142","Iceland",2014,90
"143","Iceland",2015,93
"144","Iceland",2016,92
"145","Iceland",2017,92
"146","Iceland",2018,93
"147","Iceland",2019,92.6
"148","Iceland",2020,92.9
"149","Iceland",2021,91.6
"150","Iceland",2022,91.4
"151","Ireland",2010,90
"152","Ireland",2011,92
"153","Ireland",2012,92.4
"154","Ireland",2013,93
"155","Ireland",2014,93
"156","Ireland",2015,92.9
"157","Ireland",2016,92
"158","Ireland",2017,92
"159","Ireland",2018,92.3
"160","Ireland",2019,91
"161","Ireland",2020,91.8
"162","Ireland",2021,90.4
"163","Ireland",2022,90
"164","Italy",2010,91
"165","Italy",2011,90.1
"166","Italy",2012,90.3
"167","Italy",2013,90
"168","Italy",2014,87
"169","Italy",2015,85.2
"170","Italy",2016,87
"171","Italy",2017,91.6
"172","Italy",2018,93.2
"173","Italy",2019,94.5
"174","Italy",2020,91.9
"175","Italy",2021,93.8
"176","Japan",2010,94.3
"177","Japan",2011,93.6
"178","Japan",2012,95.7
"179","Japan",2013,95.3
"180","Japan",2014,97.5
"181","Japan",2015,95.5
"182","Japan",2016,96.4
"183","Japan",2017,102.5
"184","Japan",2018,97.2
"185","Japan",2019,96
"186","Japan",2020,98.5
"187","Japan",2021,95.4
"188","Korea",2010,95.3
"189","Korea",2011,88
"190","Korea",2012,94.8
"191","Korea",2013,96.7
"192","Korea",2014,96.5
"193","Korea",2015,98.1
"194","Korea",2016,98.2
"195","Korea",2017,97.4
"196","Korea",2018,97.6
"197","Korea",2019,97.4
"198","Korea",2020,97.3
"199","Korea",2021,97.6
"200","Korea",2022,97.3
"201","Luxembourg",2010,96
"202","Luxembourg",2011,96
"203","Luxembourg",2012,99
"204","Luxembourg",2013,99
"205","Luxembourg",2014,99
"206","Luxembourg",2015,99
"207","Luxembourg",2016,99
"208","Luxembourg",2017,99
"209","Luxembourg",2018,99
"210","Luxembourg",2019,99
"211","Luxembourg",2020,99
"212","Luxembourg",2021,99
"213","Mexico",2010,95.2
"214","Mexico",2011,98.4
"215","Mexico",2012,98.8
"216","Mexico",2013,88.7
"217","Mexico",2014,97.8
"218","Mexico",2015,97
"219","Mexico",2016,97
"220","Mexico",2017,76
"221","Mexico",2018,97
"222","Mexico",2019,73
"223","Mexico",2020,92
"224","Mexico",2021,99
"225","Mexico",2022,85.8
"226","Netherlands",2010,95.9
"227","Netherlands",2011,95.9
"228","Netherlands",2012,96.1
"229","Netherlands",2013,96
"230","Netherlands",2014,95.5
"231","Netherlands",2015,94.8
"232","Netherlands",2016,93.8
"233","Netherlands",2017,92.9
"234","Netherlands",2018,92.9
"235","Netherlands",2019,93.6
"236","Netherlands",2020,93.6
"237","Netherlands",2021,92.8
"238","Netherlands",2022,89.4
"239","New Zealand",2010,91.3
"240","New Zealand",2011,93.3
"241","New Zealand",2012,92.4
"242","New Zealand",2013,92.4
"243","New Zealand",2014,92.6
"244","New Zealand",2015,92.6
"245","New Zealand",2016,92.1
"246","New Zealand",2017,93.3
"247","New Zealand",2018,91.9
"248","New Zealand",2019,91.8
"249","New Zealand",2020,91.5
"250","New Zealand",2021,91.1
"251","New Zealand",2022,90
"252","Norway",2010,93
"253","Norway",2011,93
"254","Norway",2012,94
"255","Norway",2013,93
"256","Norway",2014,94
"257","Norway",2015,95
"258","Norway",2016,96
"259","Norway",2017,96
"260","Norway",2018,96
"261","Norway",2019,97
"262","Norway",2020,96.7
"263","Norway",2021,96.6
"264","Norway",2022,96.2
"265","Poland",2010,98.2
"266","Poland",2011,98
"267","Poland",2012,97.9
"268","Poland",2013,97.5
"269","Poland",2014,97
"270","Poland",2015,96
"271","Poland",2016,95.5
"272","Poland",2017,94
"273","Poland",2018,92.9
"274","Poland",2019,93
"275","Poland",2020,80.3
"276","Poland",2021,71
"277","Portugal",2010,96
"278","Portugal",2011,97
"279","Portugal",2012,97
"280","Portugal",2013,98
"281","Portugal",2014,98
"282","Portugal",2015,98
"283","Portugal",2016,98
"284","Portugal",2017,98
"285","Portugal",2018,99
"286","Portugal",2019,99
"287","Portugal",2020,99
"288","Portugal",2021,98
"289","Slovak Republic",2010,98.5
"290","Slovak Republic",2011,98.3
"291","Slovak Republic",2012,99
"292","Slovak Republic",2013,98.2
"293","Slovak Republic",2014,96.6
"294","Slovak Republic",2015,95.2
"295","Slovak Republic",2016,95.2
"296","Slovak Republic",2017,95.8
"297","Slovak Republic",2018,96.1
"298","Slovak Republic",2019,96.2
"299","Slovak Republic",2020,96
"300","Slovak Republic",2021,95.4
"301","Slovak Republic",2022,94.7
"302","Spain",2010,95.2
"303","Spain",2011,96.8
"304","Spain",2012,97.4
"305","Spain",2013,95.3
"306","Spain",2014,96.1
"307","Spain",2015,96.1
"308","Spain",2016,96.5
"309","Spain",2017,97.7
"310","Spain",2018,97.9
"311","Spain",2019,97.9
"312","Spain",2020,96.3
"313","Spain",2021,95.4
"314","Spain",2022,96.1
"315","Sweden",2010,97
"316","Sweden",2011,97
"317","Sweden",2012,98
"318","Sweden",2013,97
"319","Sweden",2014,97
"320","Sweden",2015,98
"321","Sweden",2016,97
"322","Sweden",2017,97
"323","Sweden",2018,97
"324","Sweden",2019,97
"325","Sweden",2020,97
"326","Sweden",2021,97
"327","Sweden",2022,92.5
"328","Switzerland",2010,92
"329","Switzerland",2011,93
"330","Switzerland",2012,93
"331","Switzerland",2013,93
"332","Switzerland",2014,94
"333","Switzerland",2015,94.1
"334","Switzerland",2016,93.6
"335","Switzerland",2017,95.1
"336","Switzerland",2018,95.5
"337","Switzerland",2019,95.3
"338","Switzerland",2020,97.1
"339","Switzerland",2021,95
"340","Türkiye",2010,97
"341","Türkiye",2011,98
"342","Türkiye",2012,96
"343","Türkiye",2013,98
"344","Türkiye",2014,94
"345","Türkiye",2015,97
"346","Türkiye",2016,98
"347","Türkiye",2017,96
"348","Türkiye",2018,96
"349","Türkiye",2019,97
"350","Türkiye",2020,95
"351","Türkiye",2021,96.1
"352","United Kingdom",2010,89
"353","United Kingdom",2011,90
"354","United Kingdom",2012,92
"355","United Kingdom",2013,93
"356","United Kingdom",2014,93
"357","United Kingdom",2015,93
"358","United Kingdom",2016,92
"359","United Kingdom",2017,92
"360","United Kingdom",2018,92
"361","United Kingdom",2019,91
"362","United Kingdom",2020,91.1
"363","United Kingdom",2021,90.9
"364","United Kingdom",2022,89.8
"365","United States",2010,92
"366","United States",2011,92
"367","United States",2012,91
"368","United States",2013,92
"369","United States",2014,92
"370","United States",2015,92
"371","United States",2016,92
"372","United States",2017,91
"373","United States",2018,92
"374","United States",2019,90
"375","United States",2020,91
"376","United States",2021,91
"377","Brazil",2010,99
"378","Brazil",2011,99
"379","Brazil",2012,99
"380","Brazil",2013,98
"381","Brazil",2014,97
"382","Brazil",2015,96.1
"383","Brazil",2016,95.4
"384","Brazil",2017,87
"385","Brazil",2018,92
"386","Brazil",2019,91
"387","Brazil",2020,79.5
"388","Brazil",2021,73.5
"389","Brazil",2022,80.7
"390","Chile",2010,92.8
"391","Chile",2011,90.8
"392","Chile",2012,89.9
"393","Chile",2013,89.6
"394","Chile",2014,96.7
"395","Chile",2015,96.4
"396","Chile",2016,92.8
"397","Chile",2017,93
"398","Chile",2018,93
"399","Chile",2019,95
"400","Chile",2020,90.9
"401","Chile",2021,92.3
"402","Chile",2022,93.9
"403","China (People's Republic of)",2010,99.4
"404","China (People's Republic of)",2011,99.6
"405","China (People's Republic of)",2012,99
"406","China (People's Republic of)",2013,99.6
"407","China (People's Republic of)",2014,99
"408","China (People's Republic of)",2015,99.5
"409","China (People's Republic of)",2016,99.5
"410","China (People's Republic of)",2017,99.6
"411","China (People's Republic of)",2018,98.6
"412","China (People's Republic of)",2019,98.8
