Country,Year,Overall
Norway,1990,76.6
Norway,1991,77.1
Norway,1992,77.3
Norway,1993,77.2
Norway,1994,77.9
Norway,1995,77.9
Norway,1996,78.3
Norway,1997,78.3
Norway,1998,78.5
Norway,1999,78.4
Norway,2000,78.8
Norway,2001,79
Norway,2002,79
Norway,2003,79.6
Norway,2004,80.1
Norway,2005,80.3
Norway,2006,80.6
Norway,2007,80.6
Norway,2008,80.8
Norway,2009,81
Norway,2010,81.2
Norway,2011,81.4
Norway,2012,81.5
Norway,2013,81.8
Norway,2014,82.2
Norway,2015,82.4
Norway,2016,82.5
Norway,2017,82.7
Norway,2018,82.8
Norway,2019,83
Norway,2020,83.3
Norway,2021,83.2
Norway,2022,82.6
Argentina,1990,71.4
Argentina,1991,71.8
Argentina,1992,72.3
Argentina,1993,72.4
Argentina,1994,72.6
Argentina,1995,73.2
Argentina,1996,73.1
Argentina,1997,73.3
Argentina,1998,73.1
Argentina,1999,73.5
Argentina,2000,73.7
Argentina,2001,73.9
Argentina,2002,74.2
Argentina,2003,74.4
Argentina,2004,74.1
Argentina,2005,74.9
Argentina,2006,75.1
Argentina,2007,75.4
Argentina,2008,75
Argentina,2009,75.6
Argentina,2010,75.9
Argentina,2011,75.7
Argentina,2012,76.1
Argentina,2013,76.5
Argentina,2014,76.5
Argentina,2015,76.8
Argentina,2016,76.8
Argentina,2017,76.3
Argentina,2018,76.8
Argentina,2019,77
Argentina,2020,77.3
Argentina,2021,75.9
Argentina,2022,75.4
Switzerland,1990,77.5
Switzerland,1991,77.8
Switzerland,1992,78.1
Switzerland,1993,78.4
Switzerland,1994,78.7
Switzerland,1995,78.7
Switzerland,1996,79.2
Switzerland,1997,79.4
Switzerland,1998,79.6
Switzerland,1999,79.9
Switzerland,2000,80
Switzerland,2001,80.5
Switzerland,2002,80.6
Switzerland,2003,80.7
Switzerland,2004,81.3
Switzerland,2005,81.5
Switzerland,2006,81.8
Switzerland,2007,82
Switzerland,2008,82.3
Switzerland,2009,82.3
Switzerland,2010,82.7
Switzerland,2011,82.8
Switzerland,2012,82.8
Switzerland,2013,82.9
Switzerland,2014,83.3
Switzerland,2015,83
Switzerland,2016,83.7
Switzerland,2017,83.7
Switzerland,2018,83.8
Switzerland,2019,84
Switzerland,2020,83.1
Switzerland,2021,83.9
Switzerland,2022,83.5
Costa Rica,1990,75.7
Costa Rica,1991,75.8
Costa Rica,1992,76
Costa Rica,1993,76.2
Costa Rica,1994,76.4
Costa Rica,1995,76.6
Costa Rica,1996,76.8
Costa Rica,1997,76.9
Costa Rica,1998,77.1
Costa Rica,1999,77.3
Costa Rica,2000,77.8
Costa Rica,2001,78.1
Costa Rica,2002,78.3
Costa Rica,2003,78.5
Costa Rica,2004,78.6
Costa Rica,2005,78.8
Costa Rica,2006,79
Costa Rica,2007,79.1
Costa Rica,2008,79.3
Costa Rica,2009,79.4
Costa Rica,2010,79.1
Costa Rica,2011,79.1
Costa Rica,2012,79.4
Costa Rica,2013,79.6
Costa Rica,2014,79.7
Costa Rica,2015,79.9
Costa Rica,2016,80
Costa Rica,2017,80.2
Costa Rica,2018,80.3
Costa Rica,2019,80.5
Costa Rica,2020,80.6
Costa Rica,2021,80.8
Costa Rica,2022,80.9
Korea,1990,71.7
Korea,1991,72.2
Korea,1992,72.6
Korea,1993,73.1
Korea,1994,73.5
Korea,1995,73.8
Korea,1996,74.2
Korea,1997,74.7
Korea,1998,75.1
Korea,1999,75.5
Korea,2000,76
Korea,2001,76.5
Korea,2002,76.8
Korea,2003,77.3
Korea,2004,77.8
Korea,2005,78.2
Korea,2006,78.8
Korea,2007,79.2
Korea,2008,79.6
Korea,2009,80
Korea,2010,80.2
Korea,2011,80.6
Korea,2012,80.9
Korea,2013,81.4
Korea,2014,81.8
Korea,2015,82.1
Korea,2016,82.4
Korea,2017,82.7
Korea,2018,82.7
Korea,2019,83.3
Korea,2020,83.5
Korea,2021,83.6
Slovenia,1990,73.9
Slovenia,1991,73.6
Slovenia,1992,73.7
Slovenia,1993,73.6
Slovenia,1994,74
Slovenia,1995,74.7
Slovenia,1996,75.2
Slovenia,1997,75.2
Slovenia,1998,75.3
Slovenia,1999,75.7
Slovenia,2000,76.2
Slovenia,2001,76.4
Slovenia,2002,76.6
Slovenia,2003,76.4
Slovenia,2004,77.2
Slovenia,2005,77.5
Slovenia,2006,78.3
Slovenia,2007,78.4
Slovenia,2008,79.1
Slovenia,2009,79.4
Slovenia,2010,79.8
Slovenia,2011,80.1
Slovenia,2012,80.3
Slovenia,2013,80.5
Slovenia,2014,81.2
Slovenia,2015,80.9
Slovenia,2016,81.2
Slovenia,2017,81.2
Slovenia,2018,81.5
Slovenia,2019,81.6
Slovenia,2020,80.6
Slovenia,2021,80.7
Slovenia,2022,81.3
Mexico,1990,70.9
Mexico,1991,71.6
Mexico,1992,71.9
Mexico,1993,72
Mexico,1994,72.3
Mexico,1995,72.2
Mexico,1996,72.7
Mexico,1997,73.1
Mexico,1998,73.5
Mexico,1999,74
Mexico,2000,74.7
Mexico,2001,75
Mexico,2002,75.1
Mexico,2003,75.1
Mexico,2004,75.4
Mexico,2005,75.2
Mexico,2006,75.5
Mexico,2007,75.4
Mexico,2008,75.2
Mexico,2009,74.9
Mexico,2010,74.8
Mexico,2011,74.9
Mexico,2012,75
Mexico,2013,75
Mexico,2014,75
Mexico,2015,74.7
Mexico,2016,74.8
Mexico,2017,74.9
Mexico,2018,75
Mexico,2019,75.1
Mexico,2020,75.2
Mexico,2021,75.4
Canada,1990,77.5
Canada,1991,77.7
Canada,1992,77.9
Canada,1993,77.8
Canada,1994,78
Canada,1995,78.1
Canada,1996,78.3
Canada,1997,78.5
Canada,1998,78.7
Canada,1999,78.9
Canada,2000,79.3
Canada,2001,79.5
Canada,2002,79.6
Canada,2003,79.8
Canada,2004,80.1
Canada,2005,80.2
Canada,2006,80.7
Canada,2007,80.7
Canada,2008,80.8
Canada,2009,81.2
Canada,2010,81.4
Canada,2011,81.6
Canada,2012,81.8
Canada,2013,81.8
Canada,2014,81.9
Canada,2015,81.9
Canada,2016,82
Canada,2017,81.9
Canada,2018,81.9
Canada,2019,82.3
Canada,2020,81.7
Canada,2021,81.6
Czechia,1990,71.5
Czechia,1991,72
Czechia,1992,72.4
Czechia,1993,72.9
Czechia,1994,73.2
Czechia,1995,73.3
Czechia,1996,74
Czechia,1997,74.1
Czechia,1998,74.7
Czechia,1999,74.9
Czechia,2000,75.1
Czechia,2001,75.3
Czechia,2002,75.4
Czechia,2003,75.3
Czechia,2004,75.9
Czechia,2005,76.1
Czechia,2006,76.7
Czechia,2007,77
Czechia,2008,77.3
Czechia,2009,77.4
Czechia,2010,77.7
Czechia,2011,78
Czechia,2012,78.1
Czechia,2013,78.3
Czechia,2014,78.9
Czechia,2015,78.7
Czechia,2016,79.1
Czechia,2017,79.1
Czechia,2018,79.1
Czechia,2019,79.3
Czechia,2020,78.3
Czechia,2021,77.2
Czechia,2022,79.1
Luxembourg,1990,75.7
Luxembourg,1991,75.7
Luxembourg,1992,75.3
Luxembourg,1993,76
Luxembourg,1994,76.7
Luxembourg,1995,76.8
Luxembourg,1996,76.8
Luxembourg,1997,77.1
Luxembourg,1998,77.3
Luxembourg,1999,78
Luxembourg,2000,78
Luxembourg,2001,78
Luxembourg,2002,78.1
Luxembourg,2003,77.9
Luxembourg,2004,79.2
Luxembourg,2005,79.6
Luxembourg,2006,79.4
Luxembourg,2007,79.5
