,population,Country_Year
0,19029000,Australia_2000
1,8011566,Austria_2000
2,10251250,Belgium_2000
3,30685730,Canada_2000
4,15397780,Chile_2000
5,40295560,Colombia_2000
6,10272500,Czechia_2000
7,5339616,Denmark_2000
8,1379342,Estonia_2000
9,5175000,Finland_2000
10,59062380,France_2000
11,82211500,Germany_2000
12,10917480,Greece_2000
13,10210970,Hungary_2000
14,281154,Iceland_2000
15,3789500,Ireland_2000
16,6289200,Israel_2000
17,56942110,Italy_2000
18,126926000,Japan_2000
19,47008110,Korea_2000
20,436300,Luxembourg_2000
21,100895800,Mexico_2000
22,15925510,Netherlands_2000
23,3857700,New Zealand_2000
24,4490966,Norway_2000
25,38255940,Poland_2000
26,10289900,Portugal_2000
27,5388720,Slovak Republic_2000
28,1990272,Slovenia_2000
29,40554390,Spain_2000
30,8872109,Sweden_2000
31,7184250,Switzerland_2000
32,64268750,Türkiye_2000
33,58886000,United Kingdom_2000
34,282162400,United States_2000
35,6127700000,World_2000
36,171279900,Brazil_2000
37,1280429000,China_2000
38,1042262000,India_2000
39,208938700,Indonesia_2000
40,146597000,Russia_2000
41,44846290,South Africa_2000
42,19275000,Australia_2001
43,8042293,Austria_2001
44,10286570,Belgium_2001
45,31019020,Canada_2001
46,15571680,Chile_2001
47,40813540,Colombia_2001
48,10224190,Czechia_2001
49,5358783,Denmark_2001
50,1373510,Estonia_2001
51,5187000,Finland_2001
52,59476240,France_2001
53,82349930,Germany_2001
54,10950000,Greece_2001
55,10187580,Hungary_2001
56,285054,Iceland_2001
57,3847200,Ireland_2001
58,6439000,Israel_2001
59,56977220,Italy_2001
60,127291000,Japan_2001
61,47357360,Korea_2001
62,441525,Luxembourg_2001
63,102122300,Mexico_2001
64,16046180,Netherlands_2001
65,3880500,New Zealand_2001
66,4513751,Norway_2001
67,38250790,Poland_2001
68,10362720,Portugal_2001
69,5378867,Slovak Republic_2001
70,1992035,Slovenia_2001
71,40766050,Spain_2001
72,8895960,Sweden_2001
73,7226647,Switzerland_2001
74,65166330,Türkiye_2001
75,59113000,United Kingdom_2001
76,284969000,United States_2001
77,6204147000,World_2001
78,173808000,Brazil_2001
79,1287890000,China_2001
80,1059501000,India_2001
81,211970400,Indonesia_2001
82,145976000,Russia_2001
83,45513220,South Africa_2001
84,19495000,Australia_2002
85,8082121,Austria_2002
86,10332780,Belgium_2002
87,31353660,Canada_2002
88,15745580,Chile_2002
89,41328820,Colombia_2002
90,10200770,Czechia_2002
91,5375931,Denmark_2002
92,1367507,Estonia_2002
93,5200000,Finland_2002
94,59893870,France_2002
95,82488500,Germany_2002
96,10983000,Greece_2002
97,10158610,Hungary_2002
98,287559,Iceland_2002
99,3917200,Ireland_2002
100,6570000,Israel_2002
101,57157410,Italy_2002
102,127435000,Japan_2002
103,47622180,Korea_2002
104,446175,Luxembourg_2002
105,103417900,Mexico_2002
106,16148930,Netherlands_2002
107,3948500,New Zealand_2002
108,4538159,Norway_2002
109,38232300,Poland_2002
110,10419630,Portugal_2002
111,5376912,Slovak Republic_2002
112,1995718,Slovenia_2002
113,41423520,Spain_2002
114,8924958,Sweden_2002
115,7284754,Switzerland_2002
116,66002500,Türkiye_2002
117,58569630,United Kingdom_2002
118,287625200,United States_2002
119,6280854000,World_2002
120,176303900,Brazil_2002
121,1295322000,China_2002
122,1076706000,India_2002
123,215038300,Indonesia_2002
124,145306000,Russia_2002
125,46187790,South Africa_2002
126,19721000,Australia_2003
127,8118245,Austria_2003
128,10376130,Belgium_2003
129,31639670,Canada_2003
130,15919480,Chile_2003
131,41848960,Colombia_2003
132,10201650,Czechia_2003
133,5390574,Denmark_2003
134,1361564,Estonia_2003
135,5211000,Finland_2003
136,60303630,France_2003
137,82534180,Germany_2003
138,11016000,Greece_2003
139,10129550,Hungary_2003
140,289272,Iceland_2003
141,3979900,Ireland_2003
142,6689700,Israel_2003
143,57604660,Italy_2003
144,127619000,Japan_2003
145,47859310,Korea_2003
146,451630,Luxembourg_2003
147,104719900,Mexico_2003
148,16225300,Netherlands_2003
149,4027200,New Zealand_2003
150,4564854,Norway_2003
151,38195180,Poland_2003
152,10458820,Portugal_2003
153,5373374,Slovak Republic_2003
154,1996773,Slovenia_2003
155,42196230,Spain_2003
156,8958229,Sweden_2003
157,7339002,Switzerland_2003
158,66794550,Türkiye_2003
159,58838950,United Kingdom_2003
160,290107900,United States_2003
161,6357992000,World_2003
162,178741400,Brazil_2003
163,1302810000,China_2003
164,1093787000,India_2003
165,218145600,Indonesia_2003
166,144649000,Russia_2003
167,46869030,South Africa_2003
168,19933000,Australia_2004
169,8169441,Austria_2004
170,10421140,Belgium_2004
171,31940680,Canada_2004
172,16093380,Chile_2004
173,42368490,Colombia_2004
174,10206920,Czechia_2004
175,5404523,Denmark_2004
176,1356152,Estonia_2004
177,5227000,Finland_2004
178,60734340,France_2004
179,82516260,Germany_2004
180,11057000,Greece_2004
181,10107150,Hungary_2004
182,292587,Iceland_2004
183,4045200,Ireland_2004
184,6809000,Israel_2004
185,58175310,Italy_2004
186,127687000,Japan_2004
187,48039420,Korea_2004
188,458095,Luxembourg_2004
189,105951600,Mexico_2004
190,16281780,Netherlands_2004
191,4087500,New Zealand_2004
192,4591910,Norway_2004
193,38180250,Poland_2004
194,10483860,Portugal_2004
195,5372280,Slovak Republic_2004
196,1997004,Slovenia_2004
197,42859170,Spain_2004
198,8993531,Sweden_2004
199,7389626,Switzerland_2004
200,67598740,Türkiye_2004
201,59149120,United Kingdom_2004
202,292805300,United States_2004
203,6435705000,World_2004
204,181105600,Brazil_2004
205,1310414000,China_2004
206,1110626000,India_2004
207,221293800,Indonesia_2004
208,144067000,Russia_2004
209,47553020,South Africa_2004
210,20177000,Australia_2005
211,8225278,Austria_2005
212,10478620,Belgium_2005
213,32245210,Canada_2005
214,16267280,Chile_2005
215,42888590,Colombia_2005
216,10234090,Czechia_2005
217,5419432,Denmark_2005
218,1351231,Estonia_2005
219,5248000,Finland_2005
220,61181500,France_2005
221,82469420,Germany_2005
222,11093000,Greece_2005
223,10087070,Hungary_2005
224,295864,Iceland_2005
225,4133800,Ireland_2005
226,6930100,Israel_2005
227,58607040,Italy_2005
228,127768000,Japan_2005
229,48138080,Korea_2005
230,465158,Luxembourg_2005
231,107151000,Mexico_2005
232,16319870,Netherlands_2005
233,4133900,New Zealand_2005
234,4623291,Norway_2005
235,38161310,Poland_2005
236,10503330,Portugal_2005
237,5372806,Slovak Republic_2005
238,2001114,Slovenia_2005
239,43662610,Spain_2005
240,9029572,Sweden_2005
241,7437116,Switzerland_2005
242,68435380,Türkiye_2005
243,59591040,United Kingdom_2005
244,295516600,United States_2005
245,6514095000,World_2005
246,183383200,Brazil_2005
247,1318177000,China_2005
248,1127144000,India_2005
249,224480900,Indonesia_2005
250,143519000,Russia_2005
251,48235290,South Africa_2005
252,20451000,Australia_2006
253,8267948,Austria_2006
254,10547960,Belgium_2006
255,32576070,Canada_2006
256,16432670,Chile_2006
257,43405960,Colombia_2006
258,10266650,Czechia_2006
259,5437272,Denmark_2006
260,1346034,Estonia_2006
261,5267000,Finland_2006
262,61597480,France_2006
263,82376450,Germany_2006
264,11131000,Greece_2006
265,10071370,Hungary_2006
266,304334,Iceland_2006
267,4232900,Ireland_2006
268,7053700,Israel_2006
269,58941500,Italy_2006
270,127770000,Japan_2006
271,48371940,Korea_2006
272,472636,Luxembourg_2006
273,108408800,Mexico_2006
