#NAME?,,,,,,,,,,,,,,,,,,,
Year,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,3,..,3.2,..,2.8,..,2.5,..,2.7,2.6,2.6,2.8,2.7,2.8,2.7,2.4,2.3,2.2,2.3
Austria,2.9,..,3,..,2.9,..,2.7,..,3,3,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.5
Belgium,3,..,3.1,..,3,..,3,..,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.1,3.2,3.1,3.2
Canada,1.1,..,1.2,..,1.2,..,1.4,..,1.5,1.5,1.4,1.4,1.4,1.5,1.8,1.8,1.8,1.8,1.9
Chile,1,..,1,..,0.8,..,1,..,1.7,1.5,1.3,1.4,1.4,1.5,1.7,1.8,1.8,1.8,1.8
Colombia,..,..,..,..,..,..,..,..,..,1.4,1.2,1.5,1.7,1.8,2,1.8,1.7,1.7,1.8
Costa Rica,..,..,..,..,..,..,..,..,..,0,0.9,0.9,1,1,1,1.1,1,1,1
Czechia,1.7,..,1.7,..,2,..,2.2,..,2.3,2.3,2.1,2.2,2.2,2.1,2,2,2,2.1,2.1
Denmark,3.5,..,3.7,..,3.5,..,3.7,..,4.1,3.9,3.9,3.8,3.7,3.6,3.5,3.5,3.4,3.4,3.3
Estonia,..,..,..,..,..,..,..,..,2.9,2.8,2.5,2.3,2.1,2.5,3,3.1,3,3.3,3.3
Finland,2.8,..,2.8,..,2.8,..,2.7,..,3.1,3.1,3.1,3.2,3.2,3.2,3.1,3,2.9,2.9,2.9
France,3.7,..,3.7,..,3.7,..,3.6,..,3.7,3.6,3.7,..,3.7,3.7,3.7,3.6,3.6,3.5,3.4
Germany,3,..,3.1,..,2.9,..,2.6,..,3,3.1,3,3,3.1,3.1,3.1,3.1,3.2,3.2,3.2
Greece,..,..,..,..,..,..,..,..,1,1,1,1.2,1.3,1.4,1.3,1.3,1.7,1.9,1.8
Hungary,2.9,..,3.2,..,3,..,3.2,..,3.4,3.4,3.8,3.7,3.6,3.6,3.4,3.4,3.3,3.2,3.1
Iceland,2.4,..,2.9,..,2.9,..,3.3,..,3.6,3.5,3.3,3.4,3.4,3.5,3.3,3.2,3.2,3.3,3.3
Ireland,2.3,..,2.7,..,2.6,..,2.8,..,3.8,3.5,3.3,3.3,3,2.7,2.1,2,1.9,1.8,1.7
Israel,..,..,..,..,..,..,..,..,2,2.1,2,2.1,2.2,2.1,2.1,2.1,2.6,2.5,2.5
Italy,..,..,..,..,..,..,..,..,1.9,1.8,1.8,1.8,2,2,1.9,1.9,1.9,1.9,1.9
Japan,1,..,1.1,..,1.2,..,1.2,..,1.3,..,1.5,1.4,1.3,1.4,1.6,1.7,1.8,1.8,1.9
Korea,0.2,..,0.2,..,0.4,..,0.6,..,0.9,0.9,0.9,1,1.3,1.3,1.3,1.3,1.3,1.4,1.6
Latvia,..,..,..,..,..,..,..,..,2.4,2.1,1.8,1.6,1.8,2,2.2,2.3,2.3,2.3,2.3
Lithuania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.9,2.1,2.3,2.5
Luxembourg,3.1,3.4,3.7,3.7,3.6,3.3,3.1,3.9,3.9,3.7,3.4,3.4,3.4,3.3,3.2,3.1,3.2,3.3,3.4
Mexico,0.6,0.7,0.9,0.8,0.9,0.9,0.9,1,1,1,1,1,1,1,1,1,0.9,0.8,0.6
Netherlands,1.7,1.5,2.1,1.6,2.2,1.8,2,1.4,2.1,..,2,..,..,..,1.8,1.8,1.8,1.8,1.9
New Zealand,2.6,2.5,2.5,2.3,3,3.3,3.3,3.5,3.8,3.7,3.6,3.4,3,2.9,2.8,2.7,2.4,2.6,2.6
Norway,3.1,3,3.2,3,2.9,2.7,2.9,2.7,3.3,3.3,3.2,3.2,3.2,3.3,3.4,3.5,3.3,3.2,3.3
Poland,1.2,1.2,1.1,1.2,1.2,1.2,1.2,1.2,1.8,1.7,1.7,1.7,1.8,1.8,1.9,2.9,3,2.8,3.3
Portugal,..,1.3,1.6,1.2,1.3,1.2,1.3,1.2,1.6,1.6,1.4,1.4,1.5,1.5,1.5,1.7,1.7,1.7,1.7
Slovak Republic,2.1,..,2.2,..,1.9,..,1.8,..,2,2,2,2,2,2,2,2,2,2,2.1
Slovenia,2.1,2,2,1.9,1.9,1.9,1.7,1.7,2.1,2.1,2.1,2.1,1.9,1.8,1.8,1.7,1.8,1.8,1.8
Spain,0.9,0.9,1.1,1.1,1.2,1.2,1.5,1.3,1.7,1.6,1.5,1.4,1.4,1.4,1.4,1.3,1.3,1.4,1.5
Sweden,2.9,3.1,3.1,3.1,3.1,3.2,3.2,3.3,3.5,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.4,3.5,3.4
Switzerland,1.4,1.5,1.5,1.4,1.5,1.4,1.8,1.3,1.8,1.8,1.8,2,2,2,2.2,2.2,2.2,2.2,2.2
Türkiye,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5
United Kingdom,2.5,2.5,3.1,2.9,3.1,2.8,3.4,3.3,3.7,4.2,4.1,4,3.8,3.6,3.5,3.4,3.3,3.1,2.5
United States,1.5,..,1.4,..,1.3,..,1.2,..,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1,0.8,1
