,COUNTRY,Country,Year,Share of Individuals with net Wealth less than 25% of the poverty line,gdp
45,LVA,Latvia,2014,18.139999,47.48
25,FRA,France,2014,11.89,2662.03
31,GRC,Greece,2014,12.88,290.01
43,LUX,Luxembourg,2014,10.88,58.58
38,ITA,Italy,2014,10.26,2200.26
33,HUN,Hungary,2014,9.7600002,253.48
0,AUS,Australia,2014,5.6999998,1118.59
54,POL,Poland,2014,10.37,962.32
17,ESP,Spain,2014,13.62,1558.99
12,DEU,Germany,2014,22.280001,3807.11
60,SVK,Slovak Republic,2014,7.1599998,157.3
62,SVN,Slovenia,2014,9.9399996,63.65
6,BEL,Belgium,2014,11.0,503.62
3,AUT,Austria,2014,13.77,417.06
66,JPN,Japan,2014,9.5480003,5034.45
52,NZL,New Zealand,2014,10.2,168.46
